State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Through 3/31/2019,Through 6/30/2019
AK,4,4,4,4,4,6,6,9,9,8,8,8,8,8,10,9,6,7,7,10,10,11
AL,4,5,6,5,5,5,8,8,9,10,11,12,16,18,21,25,29,33,37,42,42,47
AR,11,11,10,10,10,8,8,11,13,13,13,13,17,20,25,29,30,30,34,36,36,35
AZ,12,10,11,13,13,19,21,27,33,38,44,45,52,58,66,71,75,87,94,111,118,122
CA,1364,1450,1562,1704,1869,2059,2275,2447,2687,2843,2972,3021,3540,3754,4061,4285,4416,4653,4836,5217,5309,5364
CO,31,34,40,45,52,60,66,70,82,95,99,101,108,125,142,156,160,169,187,209,218,219
CT,16,18,19,19,18,24,27,30,34,35,38,38,43,48,52,53,59,64,69,72,75,76
DC,,,,,,,,,,,,,,,,,,,5,8,9,9
DE,,,,,,,,,,,,*,*,*,4,4,6,8,8,10,10,9
FL,15,17,22,23,31,37,47,56,60,55,60,62,67,72,77,87,90,110,119,151,155,163
GA,11,13,14,14,17,23,24,24,26,28,30,32,41,44,49,59,68,75,84,92,95,96
HI,5,5,5,5,4,5,5,5,5,6,6,5,10,9,9,9,8,10,11,14,14,16
IA,14,17,18,20,25,37,50,66,67,76,80,83,101,107,114,120,126,135,137,150,154,152
ID,23,24,24,24,27,30,37,37,39,43,48,47,53,59,65,67,63,71,77,87,92,95
IL,27,30,37,42,55,68,83,91,99,106,112,112,129,132,138,148,138,148,158,172,177,174
IN,25,29,31,32,34,40,41,39,46,50,56,58,73,78,92,102,110,116,129,135,137,138
KS,8,9,10,10,11,12,14,19,22,21,23,23,30,33,38,42,41,50,52,58,61,63
KY,16,15,16,22,26,33,41,46,50,47,56,60,77,83,86,92,95,100,106,111,116,116
LA,6,8,7,7,7,7,8,8,7,8,10,10,12,12,12,12,14,14,15,17,17,16
MA,29,33,32,31,36,34,37,38,42,43,46,45,54,57,68,82,91,97,107,121,130,135
MD,14,14,15,15,15,19,24,33,39,42,43,48,62,72,82,92,101,114,128,143,147,151
ME,6,7,8,9,10,11,12,13,15,21,23,24,28,31,36,43,48,52,55,60,61,64
MI,56,65,82,80,91,101,109,125,136,153,159,161,193,219,254,284,334,387,456,503,539,555
MN,14,15,15,16,18,23,25,28,31,39,42,44,56,65,71,90,96,100,106,119,122,124
MO,48,53,64,62,68,76,89,100,101,108,114,122,159,171,193,211,205,221,235,265,272,276
MS,5,5,5,6,5,5,6,,,,,*,"""4""","""5""",5,5,7,8,9,10,10,10
MT,,,,5,10,11,12,10,10,13,14,14,19,20,19,20,22,26,31,33,36,38
NC,21,28,28,31,41,53,68,80,90,99,103,111,139,156,175,188,190,203,212,232,235,235
ND,,,,,6,6,8,8,9,9,8,8,9,12,12,15,15,17,21,23,23,23
NE,,4,5,8,10,13,16,19,25,28,27,28,30,33,35,35,37,39,40,40,40,39
NH,5,5,5,4,7,9,12,12,16,21,24,25,37,41,45,48,48,48,54,59,64,65
NJ,27,28,32,32,36,38,40,47,49,53,56,56,67,70,73,76,69,78,78,87,88,88
NM,28,31,33,36,36,36,38,41,42,41,47,45,60,67,72,78,79,83,84,91,98,100
NV,,,,,5,6,7,7,7,6,6,5,7,6,7,7,8,14,13,16,19,19
NY,172,186,185,197,211,227,245,271,296,304,316,318,377,403,439,481,486,530,566,623,642,655
OH,75,77,90,91,108,109,114,115,124,136,142,150,179,197,220,244,270,300,344,385,395,400
OK,4,8,12,17,20,28,36,49,56,54,60,61,70,72,76,84,75,80,85,96,97,98
OR,126,145,164,192,214,250,291,318,351,360,377,394,451,483,535,580,602,644,697,758,779,790
PA,71,76,84,94,97,108,115,127,135,147,158,159,187,215,239,268,293,328,380,422,440,445
RI,6,6,6,6,7,8,9,7,7,7,7,8,10,12,14,15,17,18,21,27,27,27
SC,7,5,5,6,7,8,10,10,11,15,14,16,21,22,22,27,28,32,36,39,45,45
SD,,,,5,5,10,13,15,16,17,17,17,22,25,28,29,29,34,34,36,36,37
TN,21,26,27,27,29,29,30,31,41,44,41,42,47,52,58,61,65,68,75,85,88,89
TX,64,67,68,77,86,110,141,159,181,203,215,211,280,330,383,439,450,497,577,665,707,728
UT,7,7,7,7,8,8,8,7,7,5,5,5,8,12,12,15,16,17,17,18,18,18
VA,70,73,86,89,98,105,127,151,163,184,195,204,240,268,297,310,313,332,356,399,418,423
VT,10,10,8,8,8,10,10,15,17,22,23,24,35,37,42,43,47,51,68,71,76,79
WA,163,182,231,268,325,376,454,527,578,629,662,687,804,849,915,989,985,1019,1091,1171,1202,1218
WI,20,24,26,27,29,35,40,41,48,56,63,61,88,103,113,131,138,139,149,168,182,186
WV,13,15,16,16,16,17,18,19,19,21,21,22,24,26,29,30,30,32,37,37,39,39
WY,,,,,,,,,,,,*,*,5,6,7,8,8,8,9,10,10
