State,Bulk Wine Gallons Production
ALABAMA,"49,084"
ARIZONA,"297,145"
ARKANSAS,"323,125"
CALIFORNIA,"716,309,505"
COLORADO,"602,424"
CONNECTICUT,"163,862"
FLORIDA,"1,598,342"
GEORGIA,"38,961,166"
IDAHO,"453,819"
ILLINOIS,"431,305"
INDIANA,"1,413,348"
IOWA,"352,144"
KANSAS,"101,409"
KENTUCKY,"2,462,440"
LOUISIANA,"34,907"
MAINE,"44,219"
MARYLAND,"408,610"
MASSACHUSETTS,"891,663"
MICHIGAN,"3,389,454"
MINNESOTA,"395,654"
MISSOURI,"1,206,061"
MONTANA,"105,253"
NEBRASKA,"134,732"
NEW HAMPSHIRE,"171,783"
NEW JERSEY,"1,560,678"
NEW MEXICO,"780,512"
NEW YORK,"28,172,209"
NORTH CAROLINA,"2,352,073"
OHIO,"5,054,566"
OKLAHOMA,"60,342"
OREGON,"13,602,710"
PENNSYLVANIA,"12,277,544"
SOUTH CAROLINA,"54,560"
SOUTH DAKOTA,"35,782"
TENNESSEE,"862,866"
TEXAS,"2,614,607"
VERMONT,"2,035,115"
VIRGINIA,"2,337,979"
WASHINGTON,"44,824,096"
WEST VIRGINIA,"49,499"
WISCONSIN,"1,251,368"
